,date,code,open,high,low,close,tradeStatus,volume,pctChg,kline_category
0,2018-01-02,sz.000001,13.35,13.93,13.32,13.7,1,208159255.0,3.007516,positive
1,2018-01-03,sz.000001,13.73,13.86,13.2,13.33,1,296249840.0,-2.700729,negative
2,2018-01-04,sz.000001,13.32,13.37,13.13,13.25,1,185450948.0,-0.60015,negative
3,2018-01-05,sz.000001,13.21,13.35,13.15,13.3,1,121031272.0,0.37736,positive
4,2018-01-08,sz.000001,13.25,13.29,12.86,12.96,1,215862081.0,-2.556392,negative
5,2018-01-09,sz.000001,12.96,13.2,12.92,13.08,1,134434509.0,0.925925,positive
6,2018-01-10,sz.000001,13.04,13.49,12.92,13.47,1,240327736.0,2.981654,positive
7,2018-01-11,sz.000001,13.41,13.59,13.27,13.4,1,144387781.0,-0.519678,negative
8,2018-01-12,sz.000001,13.45,13.68,13.41,13.55,1,135399140.0,1.119407,positive
9,2018-01-15,sz.000001,13.51,14.33,13.5,14.2,1,312239456.0,4.797045,positive
10,2018-01-16,sz.000001,14.17,14.38,14.02,14.2,1,244454900.0,0.0,positive
11,2018-01-17,sz.000001,14.33,14.8,14.2,14.23,1,265629401.0,0.211266,negative
12,2018-01-18,sz.000001,14.4,14.72,14.28,14.72,1,214802680.0,3.443434,positive
13,2018-01-19,sz.000001,14.8,15.13,14.68,14.8,1,257114669.0,0.543478,positive
14,2018-01-22,sz.000001,14.6,14.94,14.43,14.44,1,207386714.0,-2.432436,negative
15,2018-01-23,sz.000001,14.36,14.9,14.33,14.65,1,238879170.0,1.454294,positive
16,2018-01-24,sz.000001,14.66,15.08,14.5,14.64,1,259129212.0,-0.068254,negative
17,2018-01-25,sz.000001,14.45,14.47,14.0,14.2,1,236998459.0,-3.005468,negative
18,2018-01-26,sz.000001,14.18,14.34,14.02,14.05,1,203298865.0,-1.056335,negative
19,2018-01-29,sz.000001,14.05,14.25,13.6,13.74,1,209054668.0,-2.206409,negative
20,2018-01-30,sz.000001,13.7,13.84,13.55,13.65,1,109473986.0,-0.655023,negative
21,2018-01-31,sz.000001,13.6,14.05,13.53,14.05,1,174772914.0,2.930407,positive
22,2018-02-01,sz.000001,13.95,14.3,13.84,14.03,1,200561475.0,-0.142352,positive
23,2018-02-02,sz.000001,13.91,14.1,13.63,14.05,1,117651271.0,0.142555,positive
24,2018-02-05,sz.000001,13.8,14.57,13.73,14.55,1,233199790.0,3.558719,positive
25,2018-02-06,sz.000001,14.23,14.33,13.93,14.0,1,258287204.0,-3.78007,negative
26,2018-02-07,sz.000001,14.22,14.3,12.76,12.92,1,334571696.0,-7.714285,negative
27,2018-02-08,sz.000001,12.83,12.92,12.53,12.54,1,213781506.0,-2.941177,negative
28,2018-02-09,sz.000001,12.08,12.08,11.38,11.69,1,282494976.0,-6.778313,negative
29,2018-02-12,sz.000001,11.78,11.84,11.56,11.72,1,122878244.0,0.256636,negative
30,2018-02-13,sz.000001,11.87,12.21,11.84,11.94,1,129817869.0,1.877127,positive
31,2018-02-14,sz.000001,11.96,12.03,11.76,12.0,1,86419024.0,0.502516,positive
32,2018-02-22,sz.000001,12.25,12.53,12.25,12.46,1,126840607.0,3.833334,positive
33,2018-02-23,sz.000001,12.58,12.79,12.45,12.61,1,101366320.0,1.203849,positive
34,2018-02-26,sz.000001,12.77,12.85,12.45,12.63,1,104575874.0,0.158608,negative
35,2018-02-27,sz.000001,12.64,12.7,12.19,12.28,1,128586906.0,-2.771183,negative
36,2018-02-28,sz.000001,12.1,12.19,11.93,12.05,1,121414559.0,-1.87296,negative
37,2018-03-01,sz.000001,11.92,12.15,11.9,12.04,1,88695718.0,-0.082989,positive
38,2018-03-02,sz.000001,11.92,12.04,11.85,11.95,1,66312416.0,-0.74751,positive
39,2018-03-05,sz.000001,11.93,12.08,11.8,11.86,1,75418313.0,-0.753139,negative
40,2018-03-06,sz.000001,11.95,12.11,11.77,12.1,1,115016249.0,2.023615,positive
41,2018-03-07,sz.000001,12.15,12.34,12.04,12.05,1,142757032.0,-0.413225,negative
42,2018-03-08,sz.000001,12.05,12.15,11.95,12.11,1,68975503.0,0.497921,positive
43,2018-03-09,sz.000001,12.15,12.2,11.98,12.09,1,94387697.0,-0.165149,negative
44,2018-03-12,sz.000001,12.15,12.17,11.95,12.03,1,126870132.0,-0.496281,negative
45,2018-03-13,sz.000001,12.04,12.22,12.0,12.02,1,108226732.0,-0.083119,negative
46,2018-03-14,sz.000001,11.98,12.0,11.83,11.92,1,63559413.0,-0.83195,negative
47,2018-03-15,sz.000001,11.79,11.85,11.66,11.71,1,115569473.0,-1.761745,negative
48,2018-03-16,sz.000001,11.72,11.85,11.64,11.64,1,96298338.0,-0.597777,negative
49,2018-03-19,sz.000001,11.66,11.84,11.61,11.83,1,80853872.0,1.632299,positive
50,2018-03-20,sz.000001,11.74,11.88,11.72,11.82,1,77615002.0,-0.084533,positive
51,2018-03-21,sz.000001,11.95,12.12,11.85,11.9,1,144510951.0,0.676818,negative
52,2018-03-22,sz.000001,11.9,11.97,11.62,11.66,1,98427842.0,-2.016805,negative
53,2018-03-23,sz.000001,11.25,11.35,10.92,11.34,1,182569075.0,-2.744423,positive
54,2018-03-26,sz.000001,11.15,11.2,10.86,10.93,1,138359851.0,-3.615519,negative
55,2018-03-27,sz.000001,11.1,11.17,10.86,10.94,1,110393361.0,0.091485,negative
56,2018-03-28,sz.000001,10.85,11.14,10.79,10.89,1,109902339.0,-0.457031,positive
57,2018-03-29,sz.000001,10.92,11.17,10.55,11.05,1,133060238.0,1.469236,positive
58,2018-03-30,sz.000001,11.04,11.05,10.88,10.9,1,75217368.0,-1.357471,negative
59,2018-04-02,sz.000001,10.87,10.99,10.7,10.71,1,110931643.0,-1.743115,negative
60,2018-04-03,sz.000001,10.6,10.67,10.51,10.56,1,89074565.0,-1.400557,negative
61,2018-04-04,sz.000001,10.68,11.01,10.6,10.87,1,160248873.0,2.935601,positive
62,2018-04-09,sz.000001,10.8,11.1,10.73,11.02,1,107479576.0,1.37995,positive
63,2018-04-10,sz.000001,11.02,11.46,10.97,11.42,1,139095079.0,3.629761,positive
64,2018-04-11,sz.000001,11.39,11.92,11.38,11.83,1,209597045.0,3.590191,positive
65,2018-04-12,sz.000001,11.8,11.83,11.42,11.52,1,117312818.0,-2.620452,negative
66,2018-04-13,sz.000001,11.64,11.79,11.45,11.57,1,130025597.0,0.434021,negative
67,2018-04-16,sz.000001,11.47,11.47,11.03,11.1,1,142707281.0,-4.062224,negative
68,2018-04-17,sz.000001,11.12,11.45,11.11,11.21,1,130189172.0,0.990988,positive
69,2018-04-18,sz.000001,11.45,11.61,11.28,11.5,1,147584533.0,2.586976,positive
70,2018-04-19,sz.000001,11.52,11.69,11.42,11.47,1,84913183.0,-0.260867,negative
71,2018-04-20,sz.000001,11.51,11.58,11.2,11.35,1,95869066.0,-1.046206,negative
72,2018-04-23,sz.000001,11.3,11.61,11.26,11.57,1,107028935.0,1.93832,positive
73,2018-04-24,sz.000001,11.63,11.94,11.58,11.86,1,146109880.0,2.506482,positive
74,2018-04-25,sz.000001,11.76,11.81,11.63,11.68,1,73028648.0,-1.517701,negative
75,2018-04-26,sz.000001,11.66,11.69,11.31,11.42,1,87423591.0,-2.226029,negative
76,2018-04-27,sz.000001,11.49,11.51,10.63,10.85,1,270979568.0,-4.991241,negative
77,2018-05-02,sz.000001,10.97,11.03,10.8,10.88,1,119052318.0,0.276495,negative
78,2018-05-03,sz.000001,10.86,10.88,10.57,10.75,1,128135557.0,-1.194854,negative
79,2018-05-04,sz.000001,10.73,10.83,10.66,10.68,1,71050952.0,-0.65116,negative
80,2018-05-07,sz.000001,10.7,10.83,10.64,10.81,1,97430967.0,1.217229,positive
81,2018-05-08,sz.000001,10.83,11.15,10.8,11.01,1,137330568.0,1.850137,positive
